
Head First Java,Kathe,98.0
Effective Java,Joshua Bloch,23.0
Hit Refresh,Satya Nadella,45.3
Fundamentals of Wavelets,Goswami  Jaideva,43.6
Data Smart,Foreman  John,217.0
God Created the Integers,Hawking  Stephen,197.0
Superfreakonomics,Dubner  Stephen,241.0
Orientalism,Said  Edward,240.0
Nature of Statistical Learning Theory  The,Vapnik  Vladimir,230.0
Integration of the Indian States,Menon  V P,123.32
Drunkard's Walk  The,Mlodinow  Leonard,23.5
Image Processing & Mathematical Morphology,Shih  Frank,240.0
How to Think Like Sherlock Holmes,Konnikova  Maria,238.0
Data Scientists at Work,Sebastian Gutierrez,198.0
Slaughterhouse Five,Vonnegut  Kurt,236.0
Birth of a Theorem,Villani  Cedric,242.0
Structure & Interpretation of Computer Programs,Sussman  Gerald,180.0
Age of Wrath  The,Eraly  Abraham,197.0
Trial  The,Kafka  Frank,232.0
Statistical Decision Theory',Pratt  John,248.0
Data Mining Handbook,Nisbet  Robert,233.0
New Machiavelli  The,Wells  H. G.,233.0
Physics & Philosophy,Heisenberg  Werner,233.0
Making Software,Oram  Andy,234.0
Analysis  Vol I,Tao  Terence,198.0
Machine Learning for Hackers,Conway  Drew,198.0
Signal and the Noise  The,Silver  Nate,176.0
Python for Data Analysis,McKinney  Wes,176.0
Introduction to Algorithms,Cormen  Thomas,175.0
Beautiful and the Damned  The,Deb  Siddhartha,176.0
Outsider  The,Camus  Albert,212.0
Complete Sherlock Holmes  The - Vol I,Doyle  Arthur Conan,179.0
Complete Sherlock Holmes  The - Vol II,Doyle  Arthur Conan,198.0
Wealth of Nations  The,Smith  Adam,179.0
Pillars of the Earth  The,Follett  Ken,177.0
Mein Kampf,Hitler  Adolf,177.0
Tao of Physics  The,Capra  Fritjof,197.0
Surely You're Joking Mr Feynman,Feynman  Richard,202.0
Farewell to Arms  A,Hemingway  Ernest,174.0
Veteran  The,Forsyth  Frederick,196.0
False Impressions,Archer  Jeffery,172.0
Last Lecture  The,Pausch  Randy,197.0
Return of the Primitive,Rand  Ayn,197.0
Jurassic Park,Crichton  Michael,170.0
Russian Journal  A,Steinbeck  John,205.0
Tales of Mystery and Imagination,Poe  Edgar Allen,196.0
Freakonomics,Dubner  Stephen,196.0
Hidden Connections  The,Capra  Fritjof,196.0
Story of Philosophy  The,Durant  Will,174.0
Asami Asami,Deshpande  P L,196.0
Journal of a Novel,Steinbeck  John,178.0
Once There Was a War,Steinbeck  John,178.0
Moon is Down  The,Steinbeck  John,197.0
Brethren  The,Grisham  John,242.0
In a Free State,Naipaul  V. S.,242.0
Catch 22,Heller  Joseph,242.0
Complete Mastermind  The,BBC,232.0
Dylan on Dylan,Dylan  Bob,235.0
Soft Computing & Intelligent Systems,Gupta  Madan,255.0
Textbook of Economic Theory,Stonier  Alfred,240.0
Econometric Analysis,Greene  W. H.,213.0
Learning OpenCV,Bradsky  Gary,179.0
Data Structures Using C & C++,Tanenbaum  Andrew,180.0
Computer Vision  A Modern Approach,Forsyth  David,178.0
Principles of Communication Systems,Taub  Schilling,209.0
Let Us C,Kanetkar  Yashwant,197.0
Amulet of Samarkand  The,Stroud  Jonathan,212.0
Crime and Punishment,Dostoevsky  Fyodor,175.0
Angels & Demons,Brown  Dan,177.0
Argumentative Indian  The,Sen  Amartya,176.0
Sea of Poppies,Ghosh  Amitav,216.0
Idea of Justice  The,Sen  Amartya,213.0
Raisin in the Sun  A,Hansberry  Lorraine,199.0
All the President's Men,Woodward  Bob,235.0
Prisoner of Birth  A,Archer  Jeffery,213.0
Scoop!,Nayar  Kuldip,212.0
Ahe Manohar Tari,Deshpande  Sunita,212.0
Last Mughal  The,Dalrymple  William,221.0
Social Choice & Welfare  Vol 39 No. 1,Various,222.0
Radiowaril Bhashane & Shrutika,Deshpande  P L,213.0
Gun Gayin Awadi,Deshpande  P L,198.0
Aghal Paghal,Deshpande  P L,210.0
Maqta-e-Ghalib,Garg  Sanjay,198.0
Fundamentals of Wavelets,Baz-Zohar  Michael,242.0
Data Smart,Rutherford  Alex,232.0
God Created the Integers,Rutherford  Alex,235.0
Superfreakonomics,Rutherford  Alex,255.0
Orientalism,Rutherford  Alex,240.0
Nature of Statistical Learning Theory  The,Baz-Zohar  Michael,213.0
Integration of the Indian States,Corbett  Jim,179.0
Drunkard's Walk  The,Verne  Jules,180.0
Image Processing & Mathematical Morphology,Deshpande P L,178.0
How to Think Like Sherlock Holmes,Deshpande P L,209.0
Data Scientists at Work,Deshpande P L,197.0
Slaughterhouse Five,Kanetkar  Yashwant,212.0
Birth of a Theorem,Raymond  Eric,175.0
Structure & Interpretation of Computer Programs,Franco  Sergio,177.0
Age of Wrath  The,Downey  Allen,176.0
Trial  The,West  Morris,216.0
Statistical Decision Theory',Rand  Ayn,213.0
Data Mining Handbook,Rand  Ayn,199.0
New Machiavelli  The,Bell  E T,235.0
Physics & Philosophy,Janert  Phillip,213.0
Making Software,Sagan  Carl,212.0
Analysis  Vol I,Bell  E T,212.0
Machine Learning for Hackers,Dawkins  Richard,221.0
Signal and the Noise  The,Ranjan  Sudhanshu,222.0
Python for Data Analysis,Kautiyla,213.0
Introduction to Algorithms,Palkhivala,198.0
Beautiful and the Damned  The,Palkhivala,210.0
Outsider  The,Kathe,98.0
Complete Sherlock Holmes  The - Vol I,Joshua Bloch,23.0
Complete Sherlock Holmes  The - Vol II,Satya Nadella,45.3
Wealth of Nations  The,Goswami  Jaideva,43.6
Pillars of the Earth  The,Foreman  John,217.0
Mein Kampf,Hawking  Stephen,197.0
Tao of Physics  The,Dubner  Stephen,241.0
Surely You're Joking Mr Feynman,Said  Edward,240.0
Farewell to Arms  A,Vapnik  Vladimir,230.0
Veteran  The,Menon  V P,123.32
False Impressions,Mlodinow  Leonard,23.5
Last Lecture  The,Shih  Frank,240.0
Return of the Primitive,Konnikova  Maria,238.0
Jurassic Park,Sebastian Gutierrez,198.0
Russian Journal  A,Vonnegut  Kurt,236.0
Tales of Mystery and Imagination,Villani  Cedric,242.0
Freakonomics,Sussman  Gerald,180.0
Hidden Connections  The,Eraly  Abraham,197.0
Story of Philosophy  The,Kafka  Frank,232.0
Asami Asami,Pratt  John,248.0
Journal of a Novel,Nisbet  Robert,233.0
Once There Was a War,Janert  Phillip,233.0
Moon is Down  The,Sagan  Carl,233.0
Brethren  The,Bell  E T,234.0
In a Free State,Dawkins  Richard,198.0
Catch 22,Ranjan  Sudhanshu,198.0
Complete Mastermind  The,Kautiyla,176.0
Dylan on Dylan,Palkhivala,176.0
Soft Computing & Intelligent Systems,Palkhivala,175.0
Textbook of Economic Theory,Kathe,176.0
Econometric Analysis,Joshua Bloch,212.0
Learning OpenCV,Satya Nadella,179.0
Data Structures Using C & C++,Goswami  Jaideva,198.0
Computer Vision  A Modern Approach,Foreman  John,179.0
Principles of Communication Systems,Hawking  Stephen,177.0
Let Us C,Dubner  Stephen,177.0
Amulet of Samarkand  The,Said  Edward,197.0
Crime and Punishment,Vapnik  Vladimir,202.0
Angels & Demons,Menon  V P,174.0
Argumentative Indian  The,Mlodinow  Leonard,196.0
Sea of Poppies,Shih  Frank,172.0
Idea of Justice  The,Konnikova  Maria,197.0
Raisin in the Sun  A,Sebastian Gutierrez,197.0
All the President's Men,Vonnegut  Kurt,170.0
Prisoner of Birth  A,Villani  Cedric,205.0
Scoop!,Sussman  Gerald,196.0
Ahe Manohar Tari,Eraly  Abraham,196.0
Last Mughal  The,Kafka  Frank,196.0
Social Choice & Welfare  Vol 39 No. 1,Pratt  John,174.0
Radiowaril Bhashane & Shrutika,Nisbet  Robert,196.0
Gun Gayin Awadi,Janert  Phillip,178.0
Aghal Paghal,Sagan  Carl,178.0
Maqta-e-Ghalib,Bell  E T,197.0
Beyond Degrees,Dawkins  Richard,242.0
Manasa,Ranjan  Sudhanshu,242.0
India from Midnight to Milennium,Kautiyla,242.0
World's Greatest Trials  The,Palkhivala,232.0
Great Indian Novel  The,Palkhivala,235.0
O Jerusalem!,Kathe,255.0
City of Joy  The,Joshua Bloch,240.0
Freedom at Midnight,Satya Nadella,213.0
Winter of Our Discontent  The,Goswami  Jaideva,179.0
On Education,Foreman  John,180.0
Free Will,Hawking  Stephen,178.0
Bookless in Baghdad,Dubner  Stephen,209.0
Case of the Lame Canary  The,Said  Edward,197.0
Theory of Everything  The,Vapnik  Vladimir,212.0
New Markets & Other Essays,Menon  V P,175.0
Electric Universe,Mlodinow  Leonard,177.0
Hunchback of Notre Dame  The,Shih  Frank,176.0
Burning Bright,Konnikova  Maria,216.0
Age of Discontuinity  The,Sebastian Gutierrez,213.0
Doctor in the Nude,Vonnegut  Kurt,199.0
Down and Out in Paris & London,Villani  Cedric,235.0
Identity & Violence,Sussman  Gerald,213.0
Beyond the Three Seas,Eraly  Abraham,212.0
World's Greatest Short Stories  The,Kafka  Frank,212.0
Talking Straight,Pratt  John,221.0
Maugham's Collected Short Stories  Vol 3,Nisbet  Robert,222.0
Phantom of Manhattan  The,Janert  Phillip,213.0
Ashenden of The British Agent,Sagan  Carl,198.0
Zen & The Art of Motorcycle Maintenance,Bell  E T,210.0
Great War for Civilization  The,Dawkins  Richard,198.0
We the Living,Ranjan  Sudhanshu,242.0
Artist and the Mathematician  The,Kautiyla,232.0
History of Western Philosophy,Palkhivala,235.0
Selected Short Stories,Palkhivala,255.0
Rationality & Freedom,Kathe,240.0
Clash of Civilizations and Remaking of the World Order,Joshua Bloch,213.0
Uncommon Wisdom,Satya Nadella,179.0
One,Goswami  Jaideva,180.0
Karl Marx Biography,Foreman  John,178.0
To Sir With Love,Hawking  Stephen,209.0
Half A Life,Dubner  Stephen,197.0
Discovery of India  The,Said  Edward,212.0
Apulki,Vapnik  Vladimir,175.0
Unpopular Essays,Menon  V P,177.0
Deceiver  The,Mlodinow  Leonard,176.0
Veil: Secret Wars of the CIA,Shih  Frank,216.0
Char Shabda,Konnikova  Maria,213.0
Rosy is My Relative,Sebastian Gutierrez,199.0
Moon and Sixpence  The,Vonnegut  Kurt,235.0
Political Philosophers,Villani  Cedric,213.0
Short History of the World  A,Sussman  Gerald,212.0
Trembling of a Leaf  The,Eraly  Abraham,212.0
Doctor on the Brain,Kafka  Frank,221.0
Simpsons & Their Mathematical Secrets,Pratt  John,222.0
Pattern Classification,Nisbet  Robert,213.0
From Beirut to Jerusalem,Rutherford  Alex,198.0
Code Book  The,Rutherford  Alex,210.0
Age of the Warrior  The,Rutherford  Alex,98.0
Final Crisis,Rutherford  Alex,23.0
Killing Joke  The,Baz-Zohar  Michael,45.3
Flashpoint,Corbett  Jim,43.6
Batman Earth One,Verne  Jules,217.0
Crisis on Infinite Earths,Deshpande P L,197.0
Numbers Behind Numb3rs  The,Deshpande P L,241.0
Superman Earth One - 1,Deshpande P L,240.0
Superman Earth One - 2,Kanetkar  Yashwant,230.0
Justice League: Throne of Atlantis,Raymond  Eric,123.32
Justice League: The Villain's Journey,Franco  Sergio,23.5
Death of Superman  The,Downey  Allen,240.0
History of the DC Universe,West  Morris,238.0
Batman: The Long Halloween,Rand  Ayn,198.0
Life in Letters  A,Rand  Ayn,236.0
Information  The,Bell  E T,242.0
Journal of Economics  vol 106 No 3,Janert  Phillip,180.0
Elements of Information Theory,Sagan  Carl,197.0
Power Electronics - Rashid,Bell  E T,232.0
Power Electronics - Mohan,Dawkins  Richard,248.0
Neural Networks,Ranjan  Sudhanshu,233.0
Grapes of Wrath  The,Kautiyla,233.0
Vyakti ani Valli,Palkhivala,233.0
Statistical Learning Theory,Palkhivala,234.0
Empire of the Mughal - The Tainted Throne,Kathe,198.0
Empire of the Mughal - Brothers at War,Joshua Bloch,198.0
Empire of the Mughal - Ruler of the World,Satya Nadella,176.0
Empire of the Mughal - The Serpent's Tooth,Goswami  Jaideva,176.0
Empire of the Mughal - Raiders from the North,Foreman  John,175.0
Mossad,Hawking  Stephen,176.0
Jim Corbett Omnibus,Dubner  Stephen,212.0
20000 Leagues Under the Sea,Said  Edward,179.0
Batatyachi Chal,Vapnik  Vladimir,198.0
Hafasavnuk,Menon  V P,179.0
Urlasurla,Mlodinow  Leonard,177.0
Pointers in C,Shih  Frank,177.0
Cathedral and the Bazaar  The,Konnikova  Maria,197.0
Design with OpAmps,Sebastian Gutierrez,202.0
Think Complexity,Vonnegut  Kurt,174.0
Devil's Advocate  The,Villani  Cedric,196.0
Ayn Rand Answers,Sussman  Gerald,172.0
Philosophy: Who Needs It,Eraly  Abraham,197.0
World's Great Thinkers  The,Kafka  Frank,197.0
Data Analysis with Open Source Tools,Pratt  John,170.0
Broca's Brain,Nisbet  Robert,205.0
Men of Mathematics,Janert  Phillip,196.0
Oxford book of Modern Science Writing,Sagan  Carl,196.0
Justice  Judiciary and Democracy,Bell  E T,196.0
Arthashastra  The,Dawkins  Richard,174.0
We the People,Ranjan  Sudhanshu,196.0
We the Nation,Kautiyla,178.0
Courtroom Genius  The,Palkhivala,178.0
Dongri to Dubai,Palkhivala,197.0
History of England  Foundation,Kathe,242.0
City of Djinns,Joshua Bloch,242.0
India's Legal System,Satya Nadella,242.0
More Tears to Cry,Goswami  Jaideva,232.0
Ropemaker  The,Foreman  John,235.0
Angels & Demons,Hawking  Stephen,255.0
Judge  The,Dubner  Stephen,240.0
Attorney  The,Said  Edward,213.0
Prince  The,Vapnik  Vladimir,179.0
Eyeless in Gaza,Menon  V P,180.0
Tales of Beedle the Bard,Mlodinow  Leonard,178.0
Girl with the Dragon Tattoo,Shih  Frank,209.0
Girl who kicked the Hornet's Nest,Konnikova  Maria,197.0
Girl who played with Fire,Sebastian Gutierrez,212.0
Batman Handbook,Vonnegut  Kurt,175.0
Murphy's Law,Villani  Cedric,177.0
Structure and Randomness,Sussman  Gerald,176.0
Image Processing with MATLAB,Eraly  Abraham,216.0
Animal Farm,Kafka  Frank,213.0
Idiot  The,Pratt  John,199.0
Christmas Carol  A,Nisbet  Robert,235.0
